,EquationNumber,Equation,AnswerIsCorrect,Answer,CorrectAnswer
111,eq_111.jpeg,8x + 79,1,-19.62,-19.62
112,eq_112.jpeg,-3x - 47,0,11,-15.0
113,eq_113.jpeg,-18x + 29,1,-0.39,-0.39
114,eq_114.jpeg,-16x + 60,1,7.31,7.31
115,eq_115.jpeg,37x - 6,1,-1.89,-1.89
116,eq_116.jpeg,-96x - 62,0,-87,-1.5
117,eq_117.jpeg,89x - 33,0,-45,0.55
118,eq_118.jpeg,-51x + 75,0,16,0.73
119,eq_119.jpeg,18x - 7,0,46,4.72
120,eq_120.jpeg,-44x - 20,1,-1.34,-1.34
121,eq_121.jpeg,88x + 89,1,-2.02,-2.02
122,eq_122.jpeg,84x - 75,0,-1,-0.24
123,eq_123.jpeg,65x + 3,1,-0.26,-0.26
124,eq_124.jpeg,94x + 22,0,33,-0.62
125,eq_125.jpeg,-93x - 14,1,0.65,0.65
126,eq_126.jpeg,-82x - 58,0,-62,-1.21
127,eq_127.jpeg,-48x - 4,1,-1.17,-1.17
128,eq_128.jpeg,-48x - 68,0,84,-0.04
129,eq_129.jpeg,-44x + 37,1,-0.57,-0.57
130,eq_130.jpeg,46x - 11,1,0.91,0.91
131,eq_131.jpeg,-79x + 84,0,23,0.32
132,eq_132.jpeg,-86x + 40,0,59,1.01
133,eq_133.jpeg,15x + 90,0,40,0.4
134,eq_134.jpeg,25x + 89,1,-2.24,-2.24
135,eq_135.jpeg,-3x - 16,1,-13.0,-13.0
136,eq_136.jpeg,99x + 40,0,-82,0.47
137,eq_137.jpeg,-27x - 50,0,81,-2.74
138,eq_138.jpeg,71x + 77,0,14,-1.32
139,eq_139.jpeg,69x + 48,0,48,0.26
140,eq_140.jpeg,39x + 51,0,22,0.9
141,eq_141.jpeg,21x + 13,0,80,3.24
142,eq_142.jpeg,95x - 23,1,-0.71,-0.71
143,eq_143.jpeg,31x - 13,0,-81,-0.19
144,eq_144.jpeg,-24x + 44,0,56,-1.0
145,eq_145.jpeg,37x + 98,0,-47,-5.3
146,eq_146.jpeg,6x - 21,0,-1,7.0
147,eq_147.jpeg,71x - 77,1,1.35,1.35
148,eq_148.jpeg,-11x + 43,1,3.45,3.45
149,eq_149.jpeg,48x - 73,0,34,0.77
150,eq_150.jpeg,-75x - 12,0,28,0.68
151,eq_151.jpeg,34x - 59,1,-0.76,-0.76
152,eq_152.jpeg,-57x - 56,0,0,-0.39
153,eq_153.jpeg,-3x - 44,0,-13,11.33
154,eq_154.jpeg,-12x - 70,1,-10.08,-10.08
155,eq_155.jpeg,66x - 74,1,1.85,1.85
156,eq_156.jpeg,-45x - 36,0,42,-2.98
157,eq_157.jpeg,8x + 29,0,-2,-0.88
158,eq_158.jpeg,-77x - 60,1,0.13,0.13
159,eq_159.jpeg,-58x + 59,1,0.38,0.38
160,eq_160.jpeg,83x + 22,1,-0.48,-0.48
161,eq_161.jpeg,61x - 88,1,1.87,1.87
162,eq_162.jpeg,-57x - 1,1,-0.33,-0.33
163,eq_163.jpeg,45x - 19,0,-84,-0.69
164,eq_164.jpeg,-75x - 91,1,-1.92,-1.92
165,eq_165.jpeg,-92x - 42,0,36,-0.12
166,eq_166.jpeg,71x - 21,1,0.21,0.21
167,eq_167.jpeg,78x + 12,0,-8,-0.29
168,eq_168.jpeg,24x - 75,1,1.5,1.5
169,eq_169.jpeg,79x + 65,0,95,-1.8
170,eq_170.jpeg,70x - 93,1,1.84,1.84
171,eq_171.jpeg,92x - 16,0,-64,-0.52
172,eq_172.jpeg,-14x + 79,1,6.86,6.86
173,eq_173.jpeg,28x - 51,0,-39,4.61
174,eq_174.jpeg,46x + 17,1,-0.07,-0.07
175,eq_175.jpeg,99x + 67,1,-0.27,-0.27
176,eq_176.jpeg,-83x - 3,1,-0.48,-0.48
177,eq_177.jpeg,-82x - 12,1,0.11,0.11
178,eq_178.jpeg,88x + 18,0,55,0.25
179,eq_179.jpeg,88x - 68,1,0.44,0.44
180,eq_180.jpeg,50x + 80,1,-3.12,-3.12
181,eq_181.jpeg,46x - 40,0,-9,2.63
182,eq_182.jpeg,-30x + 43,0,-91,1.27
183,eq_183.jpeg,47x + 3,1,1.55,1.55
184,eq_184.jpeg,79x - 83,0,-86,-0.18
185,eq_185.jpeg,17x - 25,1,-1.29,-1.29
186,eq_186.jpeg,-77x - 64,0,23,-1.6
187,eq_187.jpeg,95x + 9,0,-94,-0.57
188,eq_188.jpeg,-53x - 42,0,-86,0.98
189,eq_189.jpeg,20x + 10,1,-2.7,-2.7
190,eq_190.jpeg,-91x - 94,1,-0.29,-0.29
191,eq_191.jpeg,21x - 20,0,-100,-0.43
192,eq_192.jpeg,23x + 56,0,21,0.7
193,eq_193.jpeg,90x + 80,0,-87,-1.4
194,eq_194.jpeg,59x - 42,1,2.29,2.29
195,eq_195.jpeg,58x + 61,0,62,0.41
196,eq_196.jpeg,-95x + 57,0,-14,0.28
197,eq_197.jpeg,-62x + 41,0,-1,1.73
198,eq_198.jpeg,-19x + 57,0,6,6.42
199,eq_199.jpeg,13x + 70,0,-6,-6.15
200,eq_200.jpeg,11x + 71,0,-37,-10.55
201,eq_201.jpeg,-61x + 63,0,93,-0.59
202,eq_202.jpeg,-3x + 13,1,20.67,20.67
203,eq_203.jpeg,-93x - 8,0,-75,0.53
204,eq_204.jpeg,-79x - 12,1,0.57,0.57
205,eq_205.jpeg,62x + 49,0,-27,-0.39
206,eq_206.jpeg,-16x - 44,0,71,2.0
207,eq_207.jpeg,-54x + 41,1,0.8,0.8
208,eq_208.jpeg,10x + 99,0,97,-12.8
209,eq_209.jpeg,44x - 23,1,1.25,1.25
210,eq_210.jpeg,70x + 76,0,-96,-0.1
211,eq_211.jpeg,24x + 47,0,-92,-4.92
212,eq_212.jpeg,4x + 52,0,42,6.5
213,eq_213.jpeg,-3x - 89,1,-29.33,-29.33
214,eq_214.jpeg,-70x - 17,0,33,-0.74
215,eq_215.jpeg,42x - 23,1,-0.33,-0.33
216,eq_216.jpeg,-59x + 96,1,1.8,1.8
217,eq_217.jpeg,-22x - 76,0,-87,-1.95
218,eq_218.jpeg,-92x + 25,1,-0.54,-0.54
219,eq_219.jpeg,45x + 86,0,83,-3.6
220,eq_220.jpeg,-95x - 50,1,-1.05,-1.05
221,eq_221.jpeg,35x + 87,1,-0.17,-0.17
222,eq_222.jpeg,-52x + 46,0,-3,2.46
223,eq_223.jpeg,12x - 3,1,0.17,0.17
224,eq_224.jpeg,65x - 23,0,87,0.82
225,eq_225.jpeg,-58x + 30,0,41,0.57
226,eq_226.jpeg,23x + 66,1,-2.83,-2.83
227,eq_227.jpeg,-11x + 24,0,-14,5.73
228,eq_228.jpeg,27x + 56,0,-78,0.44
229,eq_229.jpeg,75x - 72,0,71,1.56
230,eq_230.jpeg,-95x + 37,0,-96,0.66
231,eq_231.jpeg,45x - 1,1,-0.91,-0.91
232,eq_232.jpeg,79x - 25,0,45,0.99
233,eq_233.jpeg,18x - 79,0,-70,0.61
234,eq_234.jpeg,-49x + 27,0,-98,2.08
235,eq_235.jpeg,99x - 76,0,-97,-0.09
236,eq_236.jpeg,-12x - 5,1,-5.17,-5.17
237,eq_237.jpeg,-72x - 24,1,0.06,0.06
238,eq_238.jpeg,39x + 18,1,-2.05,-2.05
239,eq_239.jpeg,-1x - 71,0,-89,-12.0
240,eq_240.jpeg,42x - 28,1,-1.62,-1.62
241,eq_241.jpeg,80x + 90,0,21,-1.51
242,eq_242.jpeg,91x - 99,1,1.43,1.43
243,eq_243.jpeg,-87x - 47,1,-0.21,-0.21
244,eq_244.jpeg,-41x + 62,0,-31,3.85
245,eq_245.jpeg,-97x - 50,0,39,0.48
246,eq_246.jpeg,22x + 5,0,59,-2.82
247,eq_247.jpeg,-33x + 48,1,1.79,1.79
248,eq_248.jpeg,-22x - 89,1,-3.59,-3.59
249,eq_249.jpeg,29x + 26,0,0,-1.28
250,eq_250.jpeg,40x + 51,0,-21,-1.8
251,eq_251.jpeg,55x - 4,1,-0.91,-0.91
252,eq_252.jpeg,86x - 30,1,-0.15,-0.15
253,eq_253.jpeg,54x - 84,1,3.39,3.39
254,eq_254.jpeg,-38x - 83,1,-0.79,-0.79
255,eq_255.jpeg,-32x + 1,0,-33,2.56
256,eq_256.jpeg,24x + 97,0,36,-2.79
257,eq_257.jpeg,-97x + 41,1,0.85,0.85
258,eq_258.jpeg,-20x - 67,0,-83,-4.8
259,eq_259.jpeg,-95x + 1,0,-53,-0.01
260,eq_260.jpeg,-54x + 71,1,0.04,0.04
261,eq_261.jpeg,-16x + 81,0,-46,3.62
262,eq_262.jpeg,75x - 34,0,-51,0.41
263,eq_263.jpeg,74x - 41,0,-91,0.35
264,eq_264.jpeg,-26x - 94,0,90,-5.88
265,eq_265.jpeg,-98x - 63,0,34,-0.79
266,eq_266.jpeg,2x + 93,1,-51.5,-51.5
267,eq_267.jpeg,60x + 83,0,-36,-0.7
268,eq_268.jpeg,-9x - 38,1,-12.0,-12.0
269,eq_269.jpeg,68x - 64,1,0.78,0.78
270,eq_270.jpeg,-20x - 84,1,-0.1,-0.1
271,eq_271.jpeg,72x + 99,0,-33,-0.96
272,eq_272.jpeg,-47x + 71,1,0.32,0.32
273,eq_273.jpeg,-53x - 42,0,82,0.62
274,eq_274.jpeg,-81x - 75,0,76,-0.28
275,eq_275.jpeg,-2x - 79,0,-24,8.5
276,eq_276.jpeg,90x + 59,0,-42,0.31
277,eq_277.jpeg,8x + 45,1,2.12,2.12
278,eq_278.jpeg,7x + 66,0,97,-19.43
279,eq_279.jpeg,22x + 96,0,44,-7.68
280,eq_280.jpeg,9x + 4,0,-67,10.56
281,eq_281.jpeg,12x + 72,1,0.25,0.25
282,eq_282.jpeg,36x + 64,0,59,-1.5
283,eq_283.jpeg,15x + 82,0,67,0.13
284,eq_284.jpeg,-61x - 19,1,-0.16,-0.16
285,eq_285.jpeg,27x + 82,1,-5.48,-5.48
286,eq_286.jpeg,-57x - 60,1,-1.77,-1.77
287,eq_287.jpeg,30x - 14,1,1.2,1.2
288,eq_288.jpeg,49x - 13,0,37,-1.73
289,eq_289.jpeg,-64x - 29,1,-0.66,-0.66
290,eq_290.jpeg,-95x + 1,1,0.46,0.46
291,eq_291.jpeg,-74x - 26,0,-13,-0.42
292,eq_292.jpeg,49x + 56,0,100,-2.67
293,eq_293.jpeg,10x - 86,0,-100,9.9
294,eq_294.jpeg,23x - 31,1,4.35,4.35
295,eq_295.jpeg,19x + 21,1,-3.53,-3.53
296,eq_296.jpeg,-41x - 81,1,0.02,0.02
297,eq_297.jpeg,31x + 20,1,-2.9,-2.9
298,eq_298.jpeg,89x + 90,1,-0.21,-0.21
299,eq_299.jpeg,37x - 59,1,0.68,0.68
300,eq_300.jpeg,-40x + 67,0,-66,0.3
301,eq_301.jpeg,3x + 74,1,-51.67,-51.67
302,eq_302.jpeg,69x + 89,0,-43,-2.1
303,eq_303.jpeg,12x + 93,0,16,-10.33
304,eq_304.jpeg,29x + 86,1,-4.38,-4.38
305,eq_305.jpeg,32x + 40,1,-0.78,-0.78
306,eq_306.jpeg,84x - 51,1,0.8,0.8
307,eq_307.jpeg,77x - 60,0,73,-0.27
308,eq_308.jpeg,-85x - 49,1,0.29,0.29
309,eq_309.jpeg,18x + 9,1,-6.0,-6.0
310,eq_310.jpeg,93x + 87,1,-1.68,-1.68
311,eq_311.jpeg,39x - 61,1,-0.36,-0.36
312,eq_312.jpeg,71x + 58,1,-0.79,-0.79
313,eq_313.jpeg,-26x - 38,0,46,-4.42
314,eq_314.jpeg,-5x - 49,1,8.2,8.2
315,eq_315.jpeg,38x + 22,0,-80,-2.32
316,eq_316.jpeg,-36x + 18,0,99,2.11
317,eq_317.jpeg,-45x - 94,1,-2.71,-2.71
318,eq_318.jpeg,-85x - 78,0,-67,-0.73
319,eq_319.jpeg,-30x - 18,0,-55,1.77
320,eq_320.jpeg,-32x - 83,0,82,-0.34
321,eq_321.jpeg,23x + 87,1,-7.09,-7.09
322,eq_322.jpeg,-14x - 11,1,-0.21,-0.21
323,eq_323.jpeg,-25x + 1,1,-3.28,-3.28
324,eq_324.jpeg,18x + 6,1,1.5,1.5
325,eq_325.jpeg,70x + 59,0,86,-2.16
326,eq_326.jpeg,-94x - 4,1,0.0,0.0
327,eq_327.jpeg,-52x + 11,1,0.83,0.83
328,eq_328.jpeg,57x - 17,0,18,1.63
329,eq_329.jpeg,39x + 54,0,64,-0.1
330,eq_330.jpeg,-77x - 9,0,-84,1.17
331,eq_331.jpeg,-28x - 56,0,96,-3.61
332,eq_332.jpeg,-28x + 18,0,41,2.07
333,eq_333.jpeg,53x + 17,1,-2.09,-2.09
334,eq_334.jpeg,-98x + 48,0,-60,0.2
335,eq_335.jpeg,54x + 99,0,-96,-3.02
336,eq_336.jpeg,-60x + 74,0,-20,1.02
337,eq_337.jpeg,-46x - 75,0,0,-0.39
338,eq_338.jpeg,-41x + 47,1,3.49,3.49
339,eq_339.jpeg,-77x + 56,1,-0.34,-0.34
340,eq_340.jpeg,78x - 14,0,-23,0.94
341,eq_341.jpeg,11x + 62,1,-4.27,-4.27
342,eq_342.jpeg,61x + 75,1,-1.0,-1.0
343,eq_343.jpeg,-1x - 76,0,2,-65.0
344,eq_344.jpeg,-79x + 61,1,1.22,1.22
345,eq_345.jpeg,57x + 61,1,-1.75,-1.75
346,eq_346.jpeg,-41x - 41,0,40,-1.1
347,eq_347.jpeg,28x + 19,0,7,0.96
348,eq_348.jpeg,-93x - 5,0,-72,0.75
349,eq_349.jpeg,33x - 79,0,29,2.79
350,eq_350.jpeg,-61x + 63,1,0.92,0.92
351,eq_351.jpeg,-1x + 50,0,-77,-24.0
352,eq_352.jpeg,70x - 63,1,0.14,0.14
353,eq_353.jpeg,5x + 93,0,85,-28.8
354,eq_354.jpeg,23x + 95,1,-5.83,-5.83
355,eq_355.jpeg,-82x + 29,0,78,-0.67
356,eq_356.jpeg,-58x + 20,1,1.81,1.81
357,eq_357.jpeg,96x + 98,0,85,-1.42
358,eq_358.jpeg,14x + 31,0,-92,-5.79
359,eq_359.jpeg,-89x - 52,0,-44,-0.97
360,eq_360.jpeg,-16x - 18,1,-0.56,-0.56
361,eq_361.jpeg,75x - 81,0,-86,0.35
362,eq_362.jpeg,96x + 42,1,-1.24,-1.24
363,eq_363.jpeg,-95x + 71,1,0.23,0.23
364,eq_364.jpeg,68x - 85,0,-4,0.66
365,eq_365.jpeg,99x - 59,1,0.95,0.95
366,eq_366.jpeg,-81x + 81,1,2.1,2.1
367,eq_367.jpeg,-52x - 11,0,-49,-2.12
368,eq_368.jpeg,35x - 77,1,2.6,2.6
369,eq_369.jpeg,81x - 13,1,0.78,0.78
370,eq_370.jpeg,15x - 77,1,2.8,2.8
371,eq_371.jpeg,76x + 76,0,-24,-2.3
372,eq_372.jpeg,19x + 21,1,-4.95,-4.95
373,eq_373.jpeg,55x + 94,0,-3,-0.6
374,eq_374.jpeg,26x - 43,0,-43,2.54
375,eq_375.jpeg,43x - 16,0,91,-1.67
376,eq_376.jpeg,51x + 64,1,-2.63,-2.63
377,eq_377.jpeg,-8x + 93,1,4.62,4.62
378,eq_378.jpeg,-88x + 8,0,-50,0.6
379,eq_379.jpeg,-86x - 61,1,-0.73,-0.73
380,eq_380.jpeg,95x + 57,1,-1.54,-1.54
381,eq_381.jpeg,-57x + 20,0,-76,0.89
382,eq_382.jpeg,41x - 8,1,-1.76,-1.76
383,eq_383.jpeg,-2x - 34,0,43,32.5
384,eq_384.jpeg,-61x + 4,1,-1.48,-1.48
385,eq_385.jpeg,87x - 86,0,-58,0.22
386,eq_386.jpeg,-80x + 32,1,1.26,1.26
387,eq_387.jpeg,-85x + 37,1,0.49,0.49
388,eq_388.jpeg,-84x - 46,0,66,-1.44
389,eq_389.jpeg,-27x + 31,0,10,1.85
390,eq_390.jpeg,-47x - 74,1,-1.81,-1.81
391,eq_391.jpeg,-7x - 64,1,-19.29,-19.29
392,eq_392.jpeg,-56x - 15,0,36,-0.41
393,eq_393.jpeg,50x + 71,0,13,-0.38
394,eq_394.jpeg,-4x + 69,0,24,2.25
395,eq_395.jpeg,-83x - 18,1,0.7,0.7
396,eq_396.jpeg,67x + 93,0,66,-1.19
397,eq_397.jpeg,-40x - 18,0,1,-0.2
398,eq_398.jpeg,81x + 57,1,-1.33,-1.33
399,eq_399.jpeg,34x - 37,1,3.79,3.79
400,eq_400.jpeg,49x - 25,1,1.16,1.16
401,eq_401.jpeg,48x - 17,1,1.04,1.04
402,eq_402.jpeg,45x - 65,0,-81,1.67
403,eq_403.jpeg,38x - 42,1,3.05,3.05
404,eq_404.jpeg,-41x + 33,1,1.85,1.85
405,eq_405.jpeg,-65x + 16,1,-1.23,-1.23
406,eq_406.jpeg,-98x + 3,1,-0.18,-0.18
407,eq_407.jpeg,-32x - 9,1,-1.41,-1.41
408,eq_408.jpeg,23x + 49,1,-5.83,-5.83
409,eq_409.jpeg,-71x - 9,1,1.03,1.03
410,eq_410.jpeg,-75x + 29,0,18,1.65
411,eq_411.jpeg,75x - 33,1,-0.05,-0.05
412,eq_412.jpeg,-96x - 91,0,65,-0.96
413,eq_413.jpeg,75x + 72,0,-98,-0.13
414,eq_414.jpeg,-38x - 57,0,-21,-2.0
415,eq_415.jpeg,97x - 77,1,0.67,0.67
416,eq_416.jpeg,-8x - 69,0,-16,-3.62
417,eq_417.jpeg,-22x + 53,1,3.55,3.55
418,eq_418.jpeg,34x + 60,0,-75,-0.59
419,eq_419.jpeg,-53x + 57,0,49,2.08
420,eq_420.jpeg,1x + 43,0,-52,-74.0
421,eq_421.jpeg,-95x + 51,1,0.73,0.73
422,eq_422.jpeg,-90x + 71,0,90,0.29
423,eq_423.jpeg,-61x + 12,1,0.67,0.67
424,eq_424.jpeg,46x + 89,0,-49,-3.04
425,eq_425.jpeg,27x + 42,0,-60,1.96
426,eq_426.jpeg,-68x + 42,0,-17,1.5
427,eq_427.jpeg,89x + 51,0,45,-0.74
428,eq_428.jpeg,39x + 2,1,-2.08,-2.08
429,eq_429.jpeg,78x + 59,0,-70,-1.67
430,eq_430.jpeg,-93x + 96,1,-0.02,-0.02
431,eq_431.jpeg,82x - 50,0,35,0.43
432,eq_432.jpeg,-96x - 83,1,-1.56,-1.56
433,eq_433.jpeg,-57x + 50,1,0.53,0.53
434,eq_434.jpeg,89x - 69,0,24,0.66
435,eq_435.jpeg,44x + 21,0,49,-2.32
436,eq_436.jpeg,-83x + 86,1,1.83,1.83
437,eq_437.jpeg,-83x - 3,1,-0.14,-0.14
438,eq_438.jpeg,67x + 85,1,-1.58,-1.58
439,eq_439.jpeg,-27x + 85,1,4.07,4.07
440,eq_440.jpeg,-84x + 48,0,22,1.3
441,eq_441.jpeg,25x + 84,1,-5.52,-5.52
442,eq_442.jpeg,-25x + 89,1,1.12,1.12
443,eq_443.jpeg,-14x + 8,0,51,4.57
444,eq_444.jpeg,60x + 20,0,41,-1.5
445,eq_445.jpeg,-32x + 87,1,3.16,3.16
446,eq_446.jpeg,73x + 74,0,45,-0.6
447,eq_447.jpeg,-23x + 7,0,7,0.91
448,eq_448.jpeg,-31x - 70,1,0.29,0.29
449,eq_449.jpeg,86x - 55,1,0.23,0.23
450,eq_450.jpeg,9x + 78,1,-6.78,-6.78
451,eq_451.jpeg,86x - 30,1,-0.36,-0.36
452,eq_452.jpeg,42x - 27,1,2.19,2.19
453,eq_453.jpeg,16x - 15,0,-86,-0.44
454,eq_454.jpeg,79x + 25,0,35,0.86
455,eq_455.jpeg,-95x + 92,0,-27,0.19
456,eq_456.jpeg,60x - 52,0,2,0.77
457,eq_457.jpeg,58x + 18,1,0.83,0.83
458,eq_458.jpeg,91x + 52,1,-1.02,-1.02
459,eq_459.jpeg,-85x - 7,0,-100,-0.49
460,eq_460.jpeg,-8x - 97,1,-5.62,-5.62
461,eq_461.jpeg,-12x - 54,1,-1.33,-1.33
462,eq_462.jpeg,-92x - 1,1,0.82,0.82
463,eq_463.jpeg,96x + 69,1,-1.5,-1.5
464,eq_464.jpeg,-50x - 51,1,0.38,0.38
465,eq_465.jpeg,-68x - 99,1,-2.66,-2.66
466,eq_466.jpeg,17x - 17,1,4.06,4.06
467,eq_467.jpeg,-69x - 21,1,-0.28,-0.28
468,eq_468.jpeg,-39x - 95,1,-3.23,-3.23
469,eq_469.jpeg,67x - 70,1,1.45,1.45
470,eq_470.jpeg,-14x + 73,1,10.43,10.43
471,eq_471.jpeg,36x + 36,1,1.11,1.11
472,eq_472.jpeg,27x + 59,0,78,-4.26
473,eq_473.jpeg,-23x + 5,1,3.57,3.57
474,eq_474.jpeg,50x - 15,0,-87,-0.98
475,eq_475.jpeg,90x + 9,0,13,-0.48
476,eq_476.jpeg,-76x + 70,1,-0.3,-0.3
477,eq_477.jpeg,-11x - 49,1,-10.45,-10.45
478,eq_478.jpeg,54x - 92,1,0.89,0.89
479,eq_479.jpeg,21x + 75,0,74,-2.52
480,eq_480.jpeg,-77x + 73,0,13,0.26
481,eq_481.jpeg,-74x - 18,1,0.04,0.04
482,eq_482.jpeg,-79x + 81,1,1.52,1.52
483,eq_483.jpeg,2x - 49,1,-20.0,-20.0
484,eq_484.jpeg,65x - 30,1,1.02,1.02
485,eq_485.jpeg,18x - 84,1,3.0,3.0
486,eq_486.jpeg,68x + 57,1,-0.18,-0.18
487,eq_487.jpeg,45x - 90,1,3.78,3.78
488,eq_488.jpeg,53x + 40,1,1.04,1.04
